작성자,날짜,댓글내용
jsrl****,2020.05.30. 23:43,"윤미향 저러는거 정의연도 알고 있었고, 민주당도 알고 있었을게다. 더러븐 정치인넘들"
icev****,2020.05.30. 23:15,민주당이 이리 뜨뜨미지근한 이유는 윤 마사코 미향이가 할머니 등에 빨대 꽂아 뽑은 돈을 같이 쳐 자신 국개들이 많아서가 아닐까?
ebtg****,2020.05.30. 23:01,국민이 몰아준 표심을 이렇게 우롱하나????귄력 쥐어주면 다 개들되는 정치인들!!!민주당 너싀들한테 속아서 표 줬더니 이렇게 국민 우롱하나???!!!!
pigi****,2020.05.30. 22:02,지금이 촛불 들 때 아닌가..
gust****,2020.05.30. 21:43,윤미향퇴출 촛불 집회 열려야 합니다
cham****,2020.05.30. 21:00,180석 얻었다고. 너희들 세상같지 권력도 10년 못간다. 반드시 죄값을 치룬다. 세상 바뀐다
ejfq****,2020.05.30. 20:43,저런사람이 국회의원하는 나라가 제대로된 나라요 ??
osh1****,2020.05.30. 20:12,퇴출동의
kbyo****,2020.05.30. 20:48,또하나의 기생충입니다.
rock****,2020.05.30. 20:30,국민이 퇴출운동 하자
ysj7****,2020.06.08. 18:26,퇴출
lbe6****,2020.05.31. 22:18,민주당 177석이 되니깐 이젠 국민들도 우습게 보네. 하기야 4년동안 그 권력을 휘두룰수있으니깐 뭐가 겁나겠나요. 지들 맘대로 하다가 총선 시기오면 또 국민국민 그러면서 간지러운데 긁어주면 냄비 근성 국민들 다 잃고 자신들 찍어줄거라 믿는거겠지. 정치인들 처럼 교호 ㄹ하고 얍삽한 인간들도 없지요.
rive****,2020.05.30. 23:53,생긴 자체부터 맘에 안들어
kwon****,2020.11.17. 07:48,적당히하자...언제까지 버텨야하는 오더 있었냐?아니면 다른 이슈 덮으려 버티는거냐?순~~~도둑ㄴ
aste****,2020.05.30. 23:41,끝까지 버텨 국개 월급 챙기려고? 강의 한번 안하고 서울대 월급 따박따박 받는 조국 따라잡기?!ㅉㅉ
ykct****,2020.05.30. 22:52,네이버댓글에 국민청원 동의를 구하는 글이 올라와있었는데 삭제되었네요. 뭐가 문제라고 댓글이 사라졌을까요? 전 윤미향씨 행정조사와 그에 따른 공정한 처벌및 의원자격박탈 내지는 국회의원 자격을 스스로 내려놓기를 바랍니다. 그런마음으로 국민청원 찾아서 동의했습니다. 같은 마음인 분들은 국민청원 동참하시면 좋겠는데.. 의원자격이 생기는 날이네요. 그래도 동참하시길..
twoy****,2020.05.30. 22:43,윤미향 감싸기? 신중하세요 자만에 빠지면 민주당 한방에훅 간대요(김영우전의원왈)
ghks****,2020.05.30. 21:52,언제부터인가 국회의원은 국민 위에 있는 분으로 잘 못된 인식을 가지신 염치없는 분들이 많은 듯.... 국회의원님들 정신 좀 차리시죠들~~
h777****,2020.05.30. 21:46,국민청원에 윤미향사퇴 청원있습니다. 동의부탁드립니다.
jjja****,2020.05.30. 21:46,서울시장도 같이 내려왔으면 좋겠어요.기업땅을 강탈하려는 서울시.. 양아치입니다.
wjst****,2020.05.30. 21:27,국민소환제 실시 해주세요.
asdf****,2020.05.30. 20:19,윤미향퇴출.퇴출 퇴출
hyac****,2020.05.30. 19:58,민주당아 너네 당정체성은 내로남불이냐??
jg12****,2020.06.01. 09:10,반드시 퇴출 시켜야~
qkd8****,2020.05.31. 23:03,퇴출 찬성!!!
chul****,2020.05.30. 23:53,일본놈들보다 더 악랄한 윤미향이 국회에서 끌어내립시다
hyui****,2020.05.30. 20:36,최민희 김어준 공중파에서 안봤으면 토론 태도 보면 진짜 아구창을 확 최민희 아줌마 사회자세요 말 끊지 마세요 극우좌파라 뇌가 아주 좌쪽이네 병원가라
kiss****,2020.05.31. 02:32,사퇴해야지 내가 낸세금으로 월급주기싫다
sms9****,2021.04.17. 16:38,똥인줄 된장인줄 냄새로 모르나요~꼭 맛을 봐야하나요~민주당 똥맛 보겠네요
ss_k****,2020.05.31. 01:08,위안부 할머니들 증인들이 시퍼렇게 살아 있는데 더 뭘 지켜보냐? 사기꾼년을 국회에서 몰아내라~~
ccam****,2020.05.31. 00:50,더불어만진당과 문재인은 윤미향과 연결고리가 많을듯
ww89****,2020.05.31. 00:23,총선승리가 민주당계 모든 인사의 부정비리 면죄부를 준것도 아니고 총선승리하니 유죄 한명숙도 억울하다 재심하자 그러고 공수처도 검찰부터 조질려고 들고 이천화재때 추미애는 검찰력 총동원해서 수사하라하더니 윤미향건에 대해선 입도 벙끗안함 뭐가 정의롭고 공정한 세상을 만드는거야 지들끼리만 지상낙원을 만들고 있는거지
sdy2****,2020.05.31. 00:13,국민이 퇴출 시키자 저뻔뻔하고 양심없는 여자야 딩장 사퇴하고 내려와 그동안 기부했던 기부금도 다 토해내라
syzy****,2020.06.02. 02:57,진보 말로는 온갖 정의로운척 하면서 뒤로는 잇속만 챙기기 급급한 이중 인격 자들~ 직업도 없이 평생 국민들 선동질하고 이간질 하는 인간들~
sbgk****,2020.05.30. 23:43,앞으로의 모든 법죄는 조국 과 윤미향 정도 보다 조금 못하게 저지르면 전부 합법이겠네
seri****,2020.05.30. 23:43,이건 정권의 문제가아니다 범죄와의전쟁이다전국민이 들고일어나야한다
cjsw****,2020.05.30. 23:41,저런 짐승보다 못한것을 감싸주는 민주당은 더 나쁜것
dign****,2020.05.30. 23:40,박근혜는 수사 다 끝나고 처참하게 끌어내렸냐? 감성떼법으로 능멸하고 침뱉고 조롱하며 국민이 끌어내렸잖아. 근데 윤미향 따위에게 무슨 수사를 더 지켜봐?ㅋㅋ
ajch****,2020.05.30. 23:14,퇴출운동 찬성입니다
tal2****,2020.05.30. 23:09,이게 논쟁의 소지가 있는가? 이런 사람이 국민의 대표로 국회에 들어가는걸 용인하는 여당은 반성하라.
soso****,2020.05.30. 23:07,퇴출운동 동참합시다.좋아요 꾹
bys1****,2020.05.30. 23:06,문빠들과 더바랄시당넘들의 비리가 너무 다양하고 광범위하다보니 그걸 덥으려고 공수처만들고 각종비리는 관행이라 우기고 범죄자들을 비래대표로 국회에진출시켜서 검찰수사를 면하려햇고 두루킹 이하 뇌물범죄자가 친문이라해서 가석방시키고 이게 대한민국이냐? 그냥 어느 부족집단같은느낌
shim****,2020.05.30. 22:57,이념이 아니라 윤리적으로 벼룩 간 빼먹은거잖아
jhum****,2020.07.31. 14:36,의혹 해소 되기전까지는 국회 출석 하지마!!!
ange****,2020.05.30. 22:53,추미애 법무부장관에 의석수 180에 이젠 법도 국민도 필요없다는거지 ~이제와서 한명숙하는꼴 봐도 기가차는구나
gaja****,2020.05.30. 22:52,같은 종자라고 자랑질하는 꼴 임! 문재인 조국 정경심 이해찬 손혜원 윤미향!
