작성자,날짜,댓글내용
wpwp****,2020.05.31. 00:26,빨리 사퇴해라. 피곤하니까. 죗값치르고. 변명도 듣기싫타
jscv****,2020.06.05. 06:54,"더불어시민당 양정숙은 숨도 안쉬고 걷어차더니.,...윤미향은 함구하고, 떠받들고, 지켜보자고? 뒷배경이 좋았는지 윤미향은 대놓고 검찰수사에 적극협조한다고? 욱끼고 자빠졌네...국회 동의가 있어야 되는데....민주당이 방탄복으로 막아주는데...개뿔!!!!어리석은 백성들은 과거에는 새누리당에 놀아났지만, 이제는 민주당에 놀아나게 생겼다...여성가족부가 내년 예산을 얼마나 뜯어가는지 지켜봐라!!!!"
cmoo****,2020.06.03. 09:30,이런사람 국회의원 안되요스스로 사퇴하는게 바람직 함에도 퇴출당하고 싶어 그런가 봅니다..
uk08****,2020.06.01. 07:26,윤미향이 검찰수사로 유죄가되면 감싸며 지지하던 자들은 같이 잡혀갈 각오가 되있는가?
tnt8****,2020.05.30. 21:24,결국 다 들통난다 이쯤되면 인정하고 죗값치르자
loy9****,2020.05.30. 21:06,이런사람. 가만두면안됩니다. 지돈벌욕심에 설치고다녔나보네. 늦게라고. 들통나서. 다행이다 하늘무서운지 알아야지
g102****,2020.05.30. 20:39,퇴출!!!!
ahn4****,2020.05.30. 20:28,과반의석 얻었다고 자만하다가다음총선에 완패할거다 정신차려라
juno****,2020.05.30. 20:21,미안하다 대구사람이라가ㅎ 난 무작정 극우고 난 무작정 한나라당이겠네ㅎㅎ 윤미향한테 안좋은 소리하면 대구사람이겄네ㅎㅎ
ir66****,2021.08.18. 18:20,세월호와 위안부 할머니는 우리가 지키고 보다듬어 줘야 하지 않을까? 배후가 있니 개 같은 소리 할것이 아니라...
kyk5****,2020.05.31. 14:28,진짜 통닭들이 똥줄이 타긴 타나 보다 한석이라두 줄일라구 발악을 쳐하는거 보니
shil****,2020.05.30. 19:57,퇴출운동에 저는 동참합니다 기꺼이
kdrg****,2020.05.31. 21:16,"그냥 꺼져라 인간 같지도,않은 여자 하나땜에 국민들 피로감만 더준다 안그래도 우한폐렴 땜에 골머리 안픈데 꼴같지도 않은게 뭐라도 되는 마냥 꼴갑떨고 추잡스럽다 그냥 꺼져"
ykm7****,2020.05.31. 12:54,제발 검찰이 결정적 올가미물증 잡아서저런 도둑년놈부부 한방에 보내주길... 해골찬까지.. 민주당 지지세력들 모두~
leet****,2020.05.31. 10:51,민주당 클라스 진짜 대단하다.
chan****,2020.05.31. 10:01,저딴걸 쉴드해준다고 애쓴다ㅋㅋ이런당도 자기식구 챙겨주고 감싸주는데 통합당은 ㅉㅉㅉ
drag****,2020.05.31. 09:56,할머니들 쉼터라면서 교통도 불편한 안성산골짜기에 집지어놓고 막상 할머니들은 가시지도 못하고 탈북자들을 그리로 불러 돈주면서 다시 월북하라한 윤미향과 그 남편을 구속수사하라. 또 그 안성 쉼터가 그런 목적으로 지어진건 아닌지도 조사해야한다.
loud****,2020.05.31. 23:42,"퇴출이 답이다. 횡령을 관행으로 당연히 횡령을하는 사람을 민주당에 둘수없다!! 세금횡령도 할텐데, 절대 안된다!!!!"
hans****,2020.05.31. 09:28,"검찰이 무슨 힘이 있나 검찰개혁이 아니라 입맛개혁,,,177석이 검찰인데 하나마나 뼌하다 ᆞ 민주당은 국민신뢰를 잃을 좋을 기회이니 미통당은 제발 가만히 있어라~ 궂이나 보고 떡이나 드시라"
qkd8****,2020.05.31. 09:51,윤미향 퇴출 지지
ok01****,2020.05.31. 10:32,앞으로 정의연등 시민단체는 해체가 답이다. 이런곳엔 절대 기부하면 안된다
hada****,2020.05.31. 09:23,반일프레임으로 정권 유지 하더니 일본한테 유린당한 할머니들을 피빨아먹는 악마도 울고갈 인간은 또 감싸네 이래서 내로남불당 내로남불당 하는구나
zint****,2020.05.31. 09:21,나도 민주당을 지지하지만 이자 윤씨는 국회의원을 그만사퇴시키는것이 이해찬이 할일이다 누가 공천을 했는지몰라도 책임을 지고 사과해야 할것이다 즉각 퇴출시켜라 의원의 자격이 전혀 없는 자이다 이해찬답지않게 망서리는지 모르겠다 이자아 아니면 민주당이 망하기다로 하는가 창피해서
cell****,2020.05.31. 03:29,국민들이 그리 지지해주었건만 민주당도 오래가지 못할듯허구나.
supe****,2020.05.31. 03:14,딴거없어...통합당국개가 저랬으면? .....문빠들............
lddv****,2020.05.31. 01:10,국민은 퇴출을 원합니다. 나랏일을 맡길 수 없는 이유입니다.
thdr****,2020.05.31. 00:51,이놈의 정치병환자들땜에 국민들이 편가르고 서로 싸우고......내편은 뭘해도 무죄 니편은 무조건 유죄 잘들논다
lcy0****,2020.05.31. 00:40,뭔 수사를 지켜봐?검찰이 관련자 소환하고 기소하면 해 넘길테고 재판 하면 3심까지 가서 또 그해 넘길텐데 저런 악랄하고 가직에 절은 년이 국회의원 임기 반을 해 먹는 걸 지켜보자고?
sjgl****,2020.10.06. 18:37,수사를 지켜봐? 어차피 수사 못하게 검찰 해체 작업중이니 무서울게 없다는 거지
seou****,2020.05.31. 00:22,언론개혁이 언제나 될려나 조국다음 윤미향 언제쯤은 혹세무민하는 주류언론 조중동이 극우 유튜버가 될 날이오겠지 한 십년 기다리면될러나
guyg****,2020.05.31. 00:18,시민운동을 비난하고 폄훼할 생각은없다 하지만 정대협사업의 근원은 할머니들의 슬픈역사위에서 시작한것이 아닌가 그렇다면 그들의 여생을 편안하게 돌보는게 그들의 사업중 제일먼저가 되어야하는게 아닌가 그들의 끔찍한고통을 위로하고 그것을 제대로 잡겠다면서 왜 할머니들 제대로 돌보는것을 그들사업의 제일중요한부분이 아니라하는가
newl****,2020.06.02. 23:05,윤미향 퇴진원하는 것들은 어차피 무슨 말을 해도 스스로 안믿는 지역이기주의의 통합당 지지자들이다 백년이가도 부정선거주장하고 자자손손 TK지역당 투표할 느 ㅁ 들이다 그냥 무시해버려도 좋다.
3085****,2020.05.31. 00:09,국가가 나서서 퇴출시켜야지
smsj****,2020.05.31. 00:07,"이낙연! 역시 두루뭉실이네, 니가 대선 주자가 아니고 대통령 꿈이 있으면 이따위로 이도저도 아닌 말을 해서는 안되지, 분명히해라"
inom****,2020.05.31. 00:05,할머니긴 저 사기꾼년 딸년한테 용돈 주셨다네요! 용돈ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
roxx****,2020.05.31. 00:03,몰아냅시다!
kjjs****,2020.05.31. 00:03,심심하면 검찰 때려잡는 것들이 수사지켜보란다 안 웃기나ㅎ
gnrr****,2020.05.31. 00:00,이런것들 무죄 만들려고 공수처 만들었나요?! 너무 화가난다
ksg5****,2020.05.30. 23:59,우한 폐렴 바이러스 만도 못한 인간
9927****,2020.05.30. 23:58,워낙 뻔 . 조국님도 은근 슬쩍 윤이나고 아름답고 . 향기 까지 나지요 . 그래서 구렁이 담 넘어갔네요 . 그래서 그만좀 합시다 . 우리가 뽑아준 인주당 열린 민주당 밀어줍시다 . 어차피 망쪼 ?
ippu****,2022.11.14. 20:55,자꾸 시간 끌지말고 빨리 꺼져
ksp0****,2020.05.30. 23:48,입에서썩은물시궁창냄새가나는데도얼굴에철판깔고.참귀가막히고코가막히고.민주당찍은게내생에최고의후회가된다
msgo****,2020.05.30. 23:43,배신이외의 떠오르는 생각이 없다.존재자체가 할머님들의 아픔이자 고통이다. 누구도 국회의원으로 인정하지 않을 것이다. 하루 빨리 퇴출시키는 것만이 국민과 할머님들을 위한 최선의 길이다. 민주당은 무엇이 바른 길인지 잘 생각하기 바란다. 단 10원의 세비도 그녀에게 돌아가는 것을 원치 않는다.
cur1****,2020.05.30. 23:40,이녀자 국개의원은 어디서 뭘 주워 먹어 육즙이 철철 나오나 . 앵그리 앵그레 앵벌이
hwan****,2020.05.30. 23:30,문가 일파들ᆢ 대단해요ㆍ
hwan****,2020.05.30. 23:28,조금만 더 빨랐다면 180석같은 어리석은 결과가 안나왔을텐데 안타깝네ㅠ
open****,2020.05.30. 23:24,검찰을 개혁한다고 정부여당이 검찰을 사실상 위협하고 공수처를 독재연장의 도구로 이용할 가능성이 매우 높은 상황에서 검찰이 공정하고 독립적으로 수사하기 위해서는 국민들이 (현정권연장을 단순 이해관계를 따라 지지하는) 범죄혐의자 지지세력의 인민민주주의 선동을 제압할 필요가 있어보인다.
como****,2020.05.30. 23:15,찬성 청와대 국민청원 합시다
aths****,2020.05.30. 23:12,퇴출이아니라 구속
llll****,2020.05.31. 00:07,이용수할매요 ...보수우익친일파들의 선봉인 류석춘. 반일종족주의 이영훈등과 미통당지자들이 할매보고 고급매춘부라고 떠들고있어요. 거기에 이용당할껍니까..그들은 당신위해 그러는게 아니라 이걸로 현정부 흠집내려는거예요. 단박 소녀상철거하자고 하잖아요 ~~~~♡
ms01****,2020.05.30. 23:02,민주당 정신차리세요 정말국민들이 지지해주니 눈에 뵈는게 없나보네요 정말 이번 총선때 민주당 찍은거 후회 되려하네요
akal****,2020.05.30. 23:00,좌빨 윤미향 퇴출시켜라 뭐하노
jino****,2020.05.30. 23:00,나도 비례 민주 한표 던졌지만 이건아니죠 ~ 내 소중한 한표가 이렇게 쓰인다면 돌려주세요~~~~~
kms1****,2020.05.30. 23:00,스스로 나가라 이번은 못참는다 니때문에 다른피해자 넘 마니생긴다
adsl****,2020.05.30. 22:59,하여튼 좌파들은 얼굴에 철판을 깐 자들뿐이네. 그러니 좌파가 되는거겠지.
sjh3****,2020.05.30. 22:58,어떤 집단을 국민이라고 하는지? 어버이 연합도 대부분의 어버이들은 아니시던데.
hakb****,2020.05.30. 22:57,혹시 윤미향 퇴출운동 한다는 놈들이 일본 국민이냐? ㅋㅋㅋ
rbwh****,2020.05.30. 22:57,그닥... 사퇴할 이유가 없자나? 그냥 미우면 사퇴하는거야? ㅋㅋ
youn****,2020.05.30. 22:55,빠른퇴출을 강력히 해야되죠싸고도는 당도 한심당이네 저런게 국회의원?뱃지를달고.. 나라가 개꼴입니다
tkdg****,2020.06.01. 13:57,당연 퇴출이지
bjka****,2020.05.31. 12:03,"평생을 험한 삶에 치지고, 희생하신 분들을 간판삼아 돈모아서.. 어찌 자식을 가르치려들고, 개인 재산을 축척하려 가면을 썼단말입니까?그런사람이 이제는 국회의원자리는 못내려놓겠단 그욕심만으로도 최소한의 양심도 없는 비열하고 간사한 간신배임이 분명했습니다"
sjk3****,2020.06.07. 12:26,니발로 떠나거라ㅡㅡ
coco****,2020.05.30. 22:47,국민이 아무리 싫어해도 당에서 만든 국회의원은 끄떡없슴돠.
tbqk****,2020.05.31. 19:23,지금 한국당은 몸사리당이라고 해라...윤미항 뻔뻔이가 중요하냐 부정선거가 중요하냐??부정선거의 증빙이 엄청나오는데도 몸만사리는 당은 보수당이라는 이름을 빼라...어차피 선거는 다시 해야 할것이니까??그때까지 기생충처럼 살아라 통합당아...너네들의 진면목을 보았다..다시는 보수국민이 표를 줄리도 없으니까???
naga****,2020.05.30. 22:45,제발 퇘츨시킵시다 아님 국민청원으로 끌여내려야합니다
rlat****,2020.05.30. 22:44,진짜로 건축에 일자무식인 문죄인은 믿을것이다...그놈은 주둥이로만 살아왔으니....하지만 조금이라도 건축을알고 그계통에 일해본사람들은 안다..스틸하우스라 비싸고 어쩌고 저쩌고 개소리를 ...업자말을 믿으면 누구나 비싸게 구입하겠지...건축에서 가장많이드는건 인건비와 재료비다..보통1:1정도로 계산하면 현명하다...아주비싸도 1:2정도겠지....저정도 규모는 아무리 사람이 많이들어도 300인...인건비 일인당 20만원치더라도 6000만원...재료비 2배처서 일억2천..조경 일억치고 기타 경비 1억.업자가 처먹는것 일억쳐도 총5억정도
styy****,2020.05.30. 22:42,"통합당에서 저런 인물이 나왔다면 아마,,,"
jopo****,2020.05.30. 22:42,민주당 썩었다 이걸 안고 간다고? 비례 등록 해주면서 얼마나 받은걸까...이러니 공수처 공수처 노래를 부르지 비리 하고 좌쪽이면 봐주는
lbs0****,2020.06.02. 17:53,우리국민이 일어나 퇴출운동을 해야 합니다
mide****,2020.05.30. 22:40,진짜 죽으면 의미없는게 산사람들이 다 이랬다저랬다 말함
wwwy****,2020.05.30. 22:39,"언론에서 떠든거 말고 최소한 법정다툼이 있어야 , 체널A행태를 보더라도 기득권이 교묘한 언론 플레이를 얼마나 잘하는지 보았기 에 시시비비는 언론이 아닌 법정에서 ,"
kkh2****,2020.05.30. 22:39,우리나라에는 국민과 대깨문이 산다!
glu4****,2020.05.30. 22:37,"30년을 봉사했다는둥..개소리집어치고 그건 너위해 한거잖아, 회계장부 돈빼돌린거만 말해라"
hanp****,2020.05.30. 22:29,민주당 저러니 못믿지..한심한당
6606****,2021.03.31. 22:32,뻔뻔한 그대 이젠 국개의원으로 돈벌자 이거지
wsko****,2020.05.31. 10:34,민주당 똑바로해라 누구 한테 검정 받냐 통합당부터 전부 검정하자
okhe****,2020.05.30. 22:18,머가 진실인지 하루빨리 수사하라
fuel****,2020.05.30. 22:18,분위기 좋을 때 잘해라! 조국 때 지지율 박살나는 것 보지 않았냐? 국민들 생각은 변동이 심한 것 이라 믿을게 못된다. 따라쟁이가 설칠수록 그 반발력이 커진다.
kma5****,2020.05.30. 22:17,"말을할때마다 의혹이 제기되니 ,,,,,,"
heen****,2020.05.30. 22:16,몇년을 적폐청산에만 올인하더니.... 윤미향....하....진정한 적폐가 어느쪽인지 정답을 주었다 생각합니다
sopi****,2020.05.30. 22:13,"풉 수사 지켜봐? 좃국이도 경심이도 송시장도 오래전 한명숙이도 민주당이나 좌빨이랑 연관있는것들은 전부 풀려나는데, 공산국가로 변해버린 대한민국에 무슨 법치가 있을까? 그저 재앙이 빨갱이를 숭배하고 모셔야지."
muse****,2020.05.30. 22:10,조국도 계속 위증나오더니 이 여자는 한술 더 악랄하네요 어찌위안부 할머니들 이용해 본인이 유용하다니 참
sbs5****,2020.05.31. 07:33,주사파 빨갱이들을 때려죽여야 자유민주주의가 산다.
cyl0****,2020.05.30. 22:05,민주당도 똑 같은 쓰레기 집합소~
sdy9****,2020.05.30. 22:04,작년에는조국발..올해는윤미향발국민스트레스..
hero****,2020.05.30. 22:03,얘네들은 하나같이 진짜 일관성있네. 억울하다. 가짜뉴스다. 검찰조사에서 밝히겠다.
dksr****,2020.05.30. 22:03,정치인도 국민인데 너무 많은 혜택을 가지고 있다는 점은 없애야 한다. 정치인의 대부분은 부자이지만 가난한 자는 부자보다 빚에 허덕이는데..단제 승인이 너무 자유로운 것은 그만큼 문제의 소지가 있고 한 사람이 30년을 해먹은 것은 분명 비리가 있다는 점..따라서 단체 의 회계를 파악하는 기관을 만들어야 합니다. 죄를 지었다면 사퇴보다 감옥으로..
mylo****,2020.05.30. 22:03,나쁜 넘들
doll****,2020.05.30. 22:00,윤미향 퇴출운동적극 찬성입니다~
luka****,2020.05.30. 21:48,옘병 일그만두고 시위나 할련다
shba****,2020.05.30. 21:43,좀 시인하고 사죄해라!어르신들 남은 여생 이제 라도 우리들의 진실한 마음 받아 주시며 사실 수 있게
arbo****,2020.05.30. 21:43,안하 무인.... 약하고 힘없는 자를 이용하고 버리는 쓰레기 ....
hong****,2020.05.30. 21:43,언론과검찰의프레임을 꼭 확인하자 다시는 이런짓못하게 무상급식무기먹여라
lsmh****,2020.06.17. 16:05,언론발표는 몇일을 지켜보면서 판단하는게 맞지. 팩트채크하면 거의 거짓으로 판명난는데. 거기에 동조하고 싶은게 왜구의 맘이지.
char****,2020.11.09. 16:42,"대화가 안되면 그냥 포기다, 아주머니하고 안싸운다,대신 쳐다보지말라고 한다,"
ghkd****,2020.05.31. 17:25,의혹이 지기되면 퇴출이라면....누구하나 제거하는거 아주 손쉬운 일이네
hold****,2020.05.30. 21:35,독재자들이 하는짓 대국민 사기극김재규 부장봐라 그가 혁명가지 차지철 때운에 박정희를 죽여 지나가는 개가 웃겠다 모든 국민은 최종판결까지 무죄추정의 원칙이다 이게 우리 법이다 인권이다
dbsg****,2020.05.30. 21:35,양심녀가 되 주세요.진짜 대한민국의 국회의원이라면 용기를 내서 명석한 대답을 바랍니다.
s313****,2020.05.30. 21:29,쓰... 글... 넌.. 하늘이 언젠가 노할거다..... 나라는 국민이 만들거다
chas****,2020.05.30. 21:27,여당놈들도 다 재정신들이 아니구나.. 추잡한 인간을.. 싸고 돌고있으니..
ezcd****,2020.05.30. 21:25,민주당도 한팬가??선수 보호 하냐.??망할 민주당
pete****,2020.05.30. 21:24,교묘하게 법망을 벗어났다고 판결나도 할머니들의 가슴에 대못을박고 무슨 국회의원으로 활동하겠나~ 조국보다 더 나쁜사람...
west****,2020.05.30. 21:21,"더개, ㅅㅣ 키들나라폭망이다 더부 어 민 당 느그들이 말아묵어다 알간"
m966****,2020.06.02. 22:15,욕하고 싶은데 안쓴다. 발끈해 이후로 이 사건 때문에 댓글 쓰는데 민주당 너그들 발끈해랑 다르긴 하냐? 대체 뭘 처 먹었길래 감싸는데? 사과하고 반성하며 바른길 가묜 끝날걸 이렇게 일을 키우게 만드냐?
zx60****,2020.06.06. 09:22,전범기업 가네보화장품 방판 ㄹㅇ토착왜구
tjrd****,2020.05.30. 20:50,자금관리도 안되는 놈을 정치인이라고 버티면 정말 정치하는 것들은 놈이하인 듯하네.. 뭄대통령만 힘들어 제발 지대루좀 살자..
kipa****,2020.05.30. 20:41,중산층도 어려운 피아노 교육을 시키며 부부합산 연소득이 그 정도였다면 누군가로부터 지속적인 지원을 받은 것이 아니라면 횡령이지? 둘 다 아주 심각한 상황이라 본다. 공작자금을 받은 건가? 지속적으로 아니면 순수한 기부자들 등쳐먹은 건가? 어떤 설명으로도 해소되지 않는 의혹을 적극 해명했다고 하지말고 적극 잡아 뗐다고 보도해야지. 주변인물들 통장계좌 모두 추적하면 대형 사고 떠지지 않을까 하는 평범한 국민의 생각을 더불어 민주당은 아는가?
njw1****,2020.05.30. 20:38,1. 검찰 조사 정말 제대로 받을까? 2. 검찰 조사 결과 니들이 인정할까? 똥개가 똥을 마다한다는 말을 믿지..
yhk0****,2020.05.30. 20:37,진정한 신천지가 열렸네 이게 나라냐
osh1****,2020.05.30. 20:32,도둑년
hexa****,2021.01.18. 17:13,이걸로 이슈돌릴려고하지마라 부정선거 수사가 우선이다미통당 민주당 짜고치는거아니여?
youn****,2020.05.30. 20:29,정말 납득이 안가는여자네요
tado****,2020.05.30. 20:29,검찰 수사로 모든걸 묻어가려하지 마라
kjnc****,2020.05.30. 20:27,조국수사를보면서 국민들이지금 느끼는건 지켜보고 말하겠다지 조국이나 정경심 재판을봐봐 지금 완전개판이자나? 그난리를펴놓고선 지금 조국정경심재판보면 아무것도없고 오히려검찰의 만행과 횡포만보이자나? 윤미향도 지금 기레기들 조작질만 믿을게아니라 지켜보겠다
simu****,2020.05.30. 20:23,도대체 뭘했다는 건지?
wonn****,2020.05.30. 20:20,윤미향이 계속 국회의원 하면 모든 시민단체들 얌심에 죄책감 느끼지 않을 정도 개인 용도로 쓰세요 설사 걸리더라도 사과하면 됩니다 국민들도 사기죄라도 양심에 호소하세요 그럼 용서 될 겁니다 최민희 아줌마 참 변호 가관이고 앞으로 국민들이 윤미향이건 무조건 비호하는 세력들 다 몰아낼겁니다
jahy****,2020.05.30. 20:16,국민이했으면좋겠어요.
sung****,2022.01.14. 00:13,개돼지들은 똥인지 된장인지 다 먹어봐야 안다고들 하더라.
csm6****,2021.02.12. 23:35,"꼬리는 길게 놔뒀다가 한번에 자르려고,? 공수처 되면 윤석렬짜르고 때 어용 검찰 만들어서 언론으로 유야 뮤야!"
gold****,2020.06.02. 20:25,아니윤미항은사퇴되야 민주당이빠잘된다~~
hyer****,2020.05.30. 20:01,기자회견 도대체 왜한거임?
yang****,2020.05.31. 10:29,시민운둥 단체 입에 자물쇠 ㅋ
drog****,2020.05.30. 23:47,난 토착왜구고 일베다.. 윤미향은 즉각 사퇴하라!
luck****,2020.07.25. 17:30,윤미향이고 나발이고 어차피 민주당 쭉쭉 빨거고 흐지부지 되서 관심에 멀어진다ㅎ 그나저나 난 대구사람이다 그럼 난 토착왜구네?? 할머니께 욕된 소리는 안한다.. 미안 내인테 배후있다ㅎ 대구사람이라가ㅎ 우리 대구는 할마시가 정치욕심 많다ㅎ 동네를 넘어가 국회의원 해묵는단다ㅎ 전라도는 어떻노? 난 광주사태 옹호했는데 니기미 조국부터하는 꼬라지보니까 역겁더라ㅎ
pjhu****,2020.10.21. 03:54,박전대통령은 수사지켜보고 했냐 내로남불 진짜 오진다
drea****,2020.05.31. 03:17,자한당은 이걸로 태세전환하시길
ljyc****,2020.05.30. 22:48,국회의원을 대상으로 검찰이 수사 제대로 할 수 있을 거 같냐.
dlsa****,2020.05.31. 22:26,도대체 몰 덮기 위해서 이렇게 난리 난리 개난리들을 칠까 통닭들아
thee****,2020.05.30. 22:48,문재인 지지자들은 조국과 윤미향을 지지한다 그들은 인간말종 빨갱이요 적폐세력이기 때문이다...모든것은 역사가 스스로 증명할 것이다! 자 모두 깨어나자!
9471****,2021.01.25. 23:50,태영호도 18억 출처 밝히고 수사한다면 인정한다!!
tiff****,2020.05.30. 23:56,지켜볼게 따로있지 의원사퇴가 아닌 사형이다
drko****,2020.05.31. 08:32,민주당은 자기당국회의원이라고 너무 감싸는거 아닌지?국민의 눈높이도ㅈ모르는 공당이 되어가는지? 내로남불을 언제까지 할것인지? 국민의 마음을 이렇게도 헤아리지 못하고 아집에 빠져있는지? 역사적으로 이런 작은경우로부터 몰락의 길로 가는것을 모르는지? 참으로 안타깝고 울화통 터진다!!!!
aaaa****,2020.05.30. 22:49,이쯤이면 알아서 눈치껏사퇴하겠다 당에 민폐끼치지말고 눈치껏햐
libe****,2020.05.30. 22:48,서울시내 곳 곳에서 있었던 총선부정선거 규탄집회는 왜 언론들이 하나같이 보도하지 않나요? 모두 짜고 안 내보내는건가?
ssd1****,2020.05.31. 06:47,입장도 바꿔 가며 현실을 볼줄 아는 국민을 위한 여당이되길 바랍니다 윤미향당선인은 국민이 존중할만한 정치인이 아닙니다
laco****,2020.05.30. 22:47,감방가는게 맞을듯
aaad****,2020.05.30. 22:44,위안부 피해자를 앵벌이 시켜서 경제적 이득을 취한 파렴치한 사람이 대한민국 국회의원이라고 합니다..
asde****,2020.06.04. 12:18,똥인지 된징인지 맛을 봐야 아나..
taek****,2020.08.31. 07:02,오히려 검찰은 수사속도 조절하며 즐기겠군??그게.정치검찰이니..
a-ba****,2020.05.31. 14:20,윤미향을 당장 제명시키고 구속 수사하라.
poli****,2020.05.30. 20:37,할매가 이제 더 싫어지네. 조중동 기레기 언론들 선동에 파묻혀 연일 목소리만 높이니 이제 안타까움이 짜증으로 변하네. 옛말 틀린 게 없어요. 백날 천날 살 것 같아도 인생은 짧은데 뭔 욕심들만 그리 보듬고 있는지. 보세요. 누가 모여들고 있는지.
hong****,2020.05.30. 20:35,"조국수사때,검사들,다,쫏겨,났다던데,,뭔,수사가,제대로,돼겠나,,입맛에,,안맞으면,,입맛에,맡게,수사,,바꿀거,,아닌가"
quda****,2020.05.30. 20:34,뻔뻔한 민주당 니들이 잘나서 180석이가 니들 지은죄 니들이 다받게될꺼야
noga****,2020.05.30. 20:34,어리석은 사람들 제발 지금같은 행동은 하지말자 뻔히 나쁜짓을 하고 거잣말과 욕심 고집 아집그러다가 영원히 퇴출된다 국민이 용서하지 않을것이다
dark****,2020.05.30. 20:34,지켜볼것도 없다 말이 어지간히 앞뒤가 안맞아야지! 뻔뻔하고 일본보다 악랄한 x
than****,2020.05.30. 20:02,횡령.배임경제사범들 모두석방하라! 누구는 유치장에 있고 누구는 국회의원도 한다. 문재인대통령이 공약으로 경제사범 특사도없앴다.힘이있으면 죄도 피해가는건가? 이게 현정권의 뜻이라면 민주당은 아웃이다.
artt****,2020.05.30. 19:55,무조건 퇴출이다
zaq1****,2020.07.31. 06:48,윤미향과 김홍걸. 두가지 물건 덕분에 대한민국 민주주의는 조선시대로 돌아갔다. 계급사회 왕정국가 권력세습. 씨밭
gh_k****,2020.06.02. 14:25,글쎄.... 너무 자만하지 마라.... 니들이 저질러 놓은 것들이 그냥 놔둬도 국민들이 뽑아주니 자체적으로 정화에 대한 별 필요를 못느낄거다. .... 야당 놈들아 개혁 좀 해서 국민들에게 사랑 좀 받아라... 그리고 이 오만방자한 여권 놈들 좀 뒤집어 봐라.
keum****,2020.06.01. 01:11,할매가 안되면 너도 안되는거다. 꺼져라!
tjau****,2020.06.08. 20:58,민주당도 인간들이라면 지금 이상황이 윤미향이 정상적인 인간이라고 생각이 드냐?
lgh6****,2020.05.31. 10:20,민주 미친거같아 조국때도 그렇고 죄지어도 괜찮은거야???
wolv****,2020.05.31. 10:32,어지간히 두껍지 않고서야 이 지경인데도 국회의원을 하겠다고 나대는 용기가 참으로 가상하다. 어지간한 사람 같으면 쪽팔려서 절대 못할 것 같다.
iopo****,2020.06.29. 17:11,국민을위해서 개처럼 일하라고 뽑은 국개들인데 현실은 국민을 개나소로 보는 국개들만있네.
argo****,2021.04.11. 12:41,너의 땀은 진실을 말하고 있다.
kk34****,2020.05.31. 09:59,"양정숙과 윤미향이 다른 점과 같은 점은?! 다른 점.. 한 뇬은 잘렸고, 한 뇬은 검찰의 조사를 지켜본단다.. 같은 점.. 만진당에서 추천한 년이다.."
papa****,2020.05.31. 09:54,미통당 해산해라 민주당끼리 분열나게 해야한다
rlaw****,2020.05.31. 09:50,우리 솔직히 터놓고 말해봅시다 국민들은 의혹이 제기되고 깨끗한 사람을 본 적이 없다 사실로 밝혀지면 죄송하다 몰랐다 결국 이 코스로 갈것이기에 뺏지를 놓지 않겠다는거냐 조국봐라 발뼘하더니 사실이지않냐 제발 뺏지 놓고 내려와라 매일 이걸로 시끄러운것도 싫고 지겹다
zang****,2020.05.31. 09:37,나라를 빼앗겨서 지켜주지못한 할머니를 민주당은 두번 죽이는것이다.저런 거짓말쟁이년을 비호하는 민주당은 국민이 이제 안보이는가보다
ok01****,2020.05.31. 10:32,문재인 민주당 윤미향 탄핵합시다 촛불로 성공했으면 촛불에 타서 죽어야 합니다 촛불 무서운줄 모르네
hys3****,2020.05.31. 09:35,뻔뻔하고 가증스럽네요 기생충같으니라고 용돈이란말도기가차네요
skag****,2020.05.31. 09:34,검찰수사로 윤미향이 국회의원직 박탈당하면 민주당으로선 큰부담이 될텐데 왜 이지경이 될때까지 지켜보고 있는지..혹여라도 거대여당으로써의 자신감이라면 향후 큰후회로 남을것이다.
leed****,2020.06.01. 17:01,국회의원 불체포 특권을 포함 .. 많은 특권부터 없애야지....조금있으면 특권있다며 당당히 다닐거지..
sws9****,2021.10.27. 07:09,국민이 들고 일어나기를 바라는거냐?
toke****,2020.05.31. 09:31,촛불로 흥한자 촛불로 망할지어다.
sky0****,2020.05.31. 09:30,윤..내외 수입으로는 딸유학 주택구입 이 될수 없다...답은 나온거 아닌가더불어 이번일 어물쩡 넘어가면 결별이다 차기 집권도 꽝 될꺼다
pwy9****,2020.05.31. 09:23,",검찰이,제대로,,수사하면,,다,모가지,날아갈텐데,,뭔,검찰,수사를,지켜봐,,빨괭이들이,,말하는게,법인데,"
flyp****,2021.01.20. 20:16,열심히 저축하면 아이 피아노레슨시키고 대학도 보네고 집도사고 딸 유학도보네고ᆢ집없는 국민들은 저축않해서그런거네ㅡ반성해야겠다ㅡ부부합쳐 연봉이 5천이 않되는데ᆢ 신통방통하네ㅡ
jhhj****,2020.05.31. 09:19,우리나라에서 추방시켜야삽니다나라에서 완전 추방 추방~~~~
kava****,2020.07.03. 20:41,분열질 근성은 여전하네수사 및 재판 결과도 없이... 나경원 등 의혹이면 벌써 사형감이겠냐 ? 하여튼
1967****,2020.05.31. 05:58,중요한건 퇴출이든 사퇴든 뭐든지간에.저 사람은 평생 대대손손 잘살겁니다... 대한민국의 현실입니다.. 금방 잊혀지기도하구요..
